"No.","Time","Source","Destination","Protocol","Length","Info"
"51","0.328701","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.219? Tell 10.25.151.1"
"52","0.328701","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.134.177? Tell 10.25.151.1"
"53","0.328701","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.243? Tell 10.25.151.1"
"54","0.328701","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.31? Tell 10.25.151.1"
"55","0.328701","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.183? Tell 10.25.151.1"
"56","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.200? Tell 10.25.151.1"
"57","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.154.1? Tell 10.25.151.1"
"58","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.107? Tell 10.25.151.1"
"59","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.241? Tell 10.25.151.1"
"60","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.194? Tell 10.25.151.1"
"61","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.195? Tell 10.25.151.1"
"62","0.340720","26:18:cd:8a:e0:56","Broadcast","ARP","60","Who has 10.25.151.3? Tell 10.25.138.36"
"63","0.340720","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.1? Tell 10.25.151.1"
"64","0.340720","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x84b6 PTR _quickshare._tcp.local, ""QM"" question"
"65","0.351575","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x84b6 PTR _quickshare._tcp.local, ""QM"" question"
"66","0.351575","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x834f PTR _quickshare._tcp.local, ""QM"" question"
"67","0.351575","10.25.128.59","255.255.255.255","UDP","870","38118  >  29810 Len=828"
"68","0.351575","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x834f PTR _quickshare._tcp.local, ""QM"" question"
"69","0.351575","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x9fae PTR _quickshare._tcp.local, ""QM"" question"
"70","0.351575","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x9fae PTR _quickshare._tcp.local, ""QM"" question"
"71","0.351575","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x0005 PTR _quickshare._tcp.local, ""QM"" question"
"72","0.351575","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x0005 PTR _quickshare._tcp.local, ""QM"" question"
"73","0.351575","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.82? Tell 10.25.151.1"
"74","0.351575","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.224? Tell 10.25.151.1"
"75","0.351575","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.170? Tell 10.25.151.1"
"76","0.351575","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.230? Tell 10.25.151.1"
"77","0.408518","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.141.28? Tell 10.25.151.1"
"78","0.409871","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.138.1? Tell 10.25.151.1"
"79","0.411105","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.137.1? Tell 10.25.151.1"
"80","0.411105","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.166? Tell 10.25.151.1"
"81","0.421474","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.64? Tell 10.25.151.1"
"82","0.421474","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.93? Tell 10.25.151.1"
"83","0.421474","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.148.1? Tell 10.25.151.1"
"84","0.421474","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.92? Tell 10.25.151.1"
